,eigVal,eigVec,Gain,Loss,Coupling bt. bands,Coupling bt. band1 and exciton,Coupling bt. band2 and exciton,Ecm,XC
36,"[1650.99095997-2.13162821e-14j 1529.50452002+3.49332372e+00j
 1529.50452002-3.49332372e+00j]","[[ 0.06577636+0.00423738j  0.84159027+0.j         -0.00228211+0.53654395j]
 [ 0.06577636-0.00423738j -0.00228211-0.53654395j  0.84159027+0.j        ]
 [ 0.99564604+0.j         -0.05316457+0.03185479j -0.05316457-0.03185479j]]",8.309730039657106,5,8,7.5,7.5,1530,1650
37,"[1650.99086571+7.81597009e-14j 1529.50456714+3.68740611e+00j
 1529.50456714-3.68740611e+00j]","[[ 0.06577013+0.00427987j  0.8471888 +0.j         -0.00226681+0.52766009j]
 [ 0.06577013-0.00427987j -0.00226681-0.52766009j  0.8471888 +0.j        ]
 [ 0.9956465 +0.j         -0.05354542+0.03120456j -0.05354542-0.03120456j]]",8.393849971331719,5,8,7.5,7.5,1530,1650
38,"[1650.99077096+4.97379915e-14j 1529.50461452+3.87274716e+00j
 1529.50461452-3.87274716e+00j]","[[ 0.06576387+0.00432216j  0.85234428+0.j         -0.00225289+0.51929152j]
 [ 0.06576387-0.00432216j -0.00225289-0.51929152j  0.85234428+0.j        ]
 [ 0.99564696+0.j         -0.05389545+0.03059008j -0.05389545-0.03059008j]]",8.477584252723487,5,8,7.5,7.5,1530,1650
39,"[1650.99067573-1.13686838e-13j 1529.50466213+4.05052882e+00j
 1529.50466213-4.05052882e+00j]","[[ 0.06575758+0.00436424j  0.8571175 +0.j         -0.00224013+0.51137508j]
 [ 0.06575758-0.00436424j -0.00224013-0.51137508j  0.8571175 +0.j        ]
 [ 0.99564742+0.j         -0.0542189 +0.03000695j -0.0542189 -0.03000695j]]",8.560935535359459,5,8,7.5,7.5,1530,1650
40,"[1650.99058003+1.06581410e-13j 1529.50470999+4.22168904e+00j
 1529.50470999-4.22168904e+00j]","[[ 0.06575126+0.00440612j  0.86155698+0.j         -0.00222837+0.50385997j]
 [ 0.06575126-0.00440612j -0.00222837-0.50385997j  0.86155698+0.j        ]
 [ 0.99564789+0.j         -0.05451915+0.02945166j -0.05451915-0.02945166j]]",8.643906446464054,5,8,7.5,7.5,1530,1650
41,"[1650.99048386+1.13686838e-13j 1529.50475807+4.38698665e+00j
 1529.50475807-4.38698665e+00j]","[[ 0.06574491+0.00444779j  0.86570224+0.j         -0.00221749+0.49670449j]
 [ 0.06574491-0.00444779j -0.00221749-0.49670449j  0.86570224+0.j        ]
 [ 0.99564836+0.j         -0.05479895+0.02892132j -0.05479895-0.02892132j]]",8.726499589237434,5,8,7.5,7.5,1530,1650
42,"[1650.99038724-9.94759830e-14j 1529.50480638+4.54704559e+00j
 1529.50480638-4.54704559e+00j]","[[ 0.06573853+0.00448927j  0.86958593+0.j         -0.00220737+0.48987391j]
 [ 0.06573853-0.00448927j -0.00220737-0.48987391j  0.86958593+0.j        ]
 [ 0.99564883+0.j         -0.05506059+0.02841351j -0.05506059-0.02841351j]]",8.808717543130069,5,8,7.5,7.5,1530,1650
43,"[1650.99029018-1.84741111e-13j 1529.50485491+4.70238611e+00j
 1529.50485491-4.70238611e+00j]","[[ 0.06573211+0.00453054j  0.87323542+0.j         -0.00219793+0.48333885j]
 [ 0.06573211-0.00453054j -0.00219793-0.48333885j  0.87323542+0.j        ]
 [ 0.9956493 +0.j         -0.05530597+0.0279262j  -0.05530597-0.0279262j ]]",8.890562864113518,5,8,7.5,7.5,1530,1650
44,"[1650.99019268-5.68434189e-14j 1529.50490366+4.85344723e+00j
 1529.50490366-4.85344723e+00j]","[[ 0.06572567+0.00457161j  0.87667392+0.j         -0.0021891 +0.4770742j ]
 [ 0.06572567-0.00457161j -0.0021891 -0.4770742j   0.87667392+0.j        ]
 [ 0.99564977+0.j         -0.0555367 +0.02745765j -0.0555367 -0.02745765j]]",8.972038084947513,5,8,7.5,7.5,1530,1650
45,"[1650.99009476+9.94759830e-14j 1529.50495262+5.00060335e+00j
 1529.50495262-5.00060335e+00j]","[[ 0.06571921+0.00461249j  0.8799213 +0.j         -0.0021808 +0.47105825j]
 [ 0.06571921-0.00461249j -0.0021808 -0.47105825j  0.8799213 +0.j        ]
 [ 0.99565025+0.j         -0.05575417+0.02700636j -0.05575417-0.02700636j]]",9.053145715443405,5,8,7.5,7.5,1530,1650
46,"[1650.98999642-1.42108547e-14j 1529.50500179+5.14417675e+00j
 1529.50500179-5.14417675e+00j]","[[ 0.06571271+0.00465317j  0.88299471+0.j         -0.002173  +0.4652721j ]
 [ 0.06571271-0.00465317j -0.002173  -0.4652721j   0.88299471+0.j        ]
 [ 0.99565073+0.j         -0.05595957+0.02657102j -0.05595957-0.02657102j]]",9.133888242724009,5,8,7.5,7.5,1530,1650
47,"[1650.98989768+1.27897692e-13j 1529.50505116+5.28444713e+00j
 1529.50505116-5.28444713e+00j]","[[ 0.06570619+0.00469366j  0.8859091 +0.j         -0.00216564+0.4596991j ]
 [ 0.06570619-0.00469366j -0.00216564-0.4596991j   0.8859091 +0.j        ]
 [ 0.99565121+0.j         -0.05615395+0.02615048j -0.05615395-0.02615048j]]",9.21426813147993,5,8,7.5,7.5,1530,1650
48,"[1650.98979854+2.84217094e-14j 1529.50510073+5.42165900e+00j
 1529.50510073-5.42165900e+00j]","[[ 0.06569964+0.00473395j  0.88867757+0.j         -0.00215867+0.45432454j]
 [ 0.06569964-0.00473395j -0.00215867-0.45432454j  0.88867757+0.j        ]
 [ 0.99565169+0.j         -0.0563382 +0.02574372j -0.0563382 -0.02574372j]]",9.294287824222408,5,8,7.5,7.5,1530,1650
49,"[1650.98969901-5.68434189e-14j 1529.5051505 +5.55602760e+00j
 1529.5051505 -5.55602760e+00j]","[[ 0.06569306+0.00477405j  0.89131167+0.j         -0.00215208+0.44913531j]
 [ 0.06569306-0.00477405j -0.00215208-0.44913531j  0.89131167+0.j        ]
 [ 0.99565218+0.j         -0.05651313+0.02534985j -0.05651313-0.02534985j]]",9.373949741532755,5,8,7.5,7.5,1530,1650
50,"[1650.9895991 -2.84217094e-14j 1529.50520045+5.68774347e+00j
 1529.50520045-5.68774347e+00j]","[[ 0.06568647+0.00481396j  0.89382166+0.j         -0.00214582+0.44411965j]
 [ 0.06568647-0.00481396j -0.00214582-0.44411965j  0.89382166+0.j        ]
 [ 0.99565266+0.j         -0.05667946+0.02496804j -0.05667946-0.02496804j]]",9.453256282308406,5,8,7.5,7.5,1530,1650
51,"[1650.98949882+4.26325641e-14j 1529.50525059+5.81697628e+00j
 1529.50525059-5.81697628e+00j]","[[ 0.06567984+0.00485368j  0.89621668+0.j         -0.00213987+0.43926701j]
 [ 0.06567984-0.00485368j -0.00213987-0.43926701j  0.89621668+0.j        ]
 [ 0.99565315+0.j         -0.05683783+0.02459757j -0.05683783-0.02459757j]]",9.53220982400568,5,8,7.5,7.5,1530,1650
52,"[1650.98939817+0.j         1529.50530091+5.94387782j
 1529.50530091-5.94387782j]","[[ 0.06567319+0.00489321j  0.89850491+0.j         -0.00213421+0.4345678j ]
 [ 0.06567319-0.00489321j -0.00213421-0.4345678j   0.89850491+0.j        ]
 [ 0.99565364+0.j         -0.05698879+0.02423778j -0.05698879-0.02423778j]]",9.610812722879263,5,8,7.5,7.5,1530,1650
53,"[1650.98929717+1.42108547e-13j 1529.50535141+6.06858452e+00j
 1529.50535141-6.06858452e+00j]","[[ 0.06566652+0.00493256j  0.90069373+0.j         -0.00212881+0.43001333j]
 [ 0.06566652-0.00493256j -0.00212881-0.43001333j  0.90069373+0.j        ]
 [ 0.99565413+0.j         -0.05713286+0.02388807j -0.05713286-0.02388807j]]",9.689067314218498,5,8,7.5,7.5,1530,1650
54,"[1650.98919583+2.84217094e-14j 1529.50540209+6.19121953e+00j
 1529.50540209-6.19121953e+00j]","[[ 0.06565983+0.00497172j  0.90278978+0.j         -0.00212365+0.42559569j]
 [ 0.06565983-0.00497172j -0.00212365-0.42559569j  0.90278978+0.j        ]
 [ 0.99565463+0.j         -0.0572705 +0.02354789j -0.0572705 -0.02354789j]]",9.766975912580502,5,8,7.5,7.5,1530,1650
55,"[1650.98909415-4.26325641e-14j 1529.50545293+6.31189446e+00j
 1529.50545293-6.31189446e+00j]","[[ 0.06565311+0.00501069j  0.90479909+0.j         -0.00211871+0.4213076j ]
 [ 0.06565311-0.00501069j -0.00211871-0.4213076j   0.90479909+0.j        ]
 [ 0.99565512+0.j         -0.05740214+0.02321674j -0.05740214-0.02321674j]]",9.844540812020181,5,8,7.5,7.5,1530,1650
56,"[1650.98899213+1.42108547e-14j 1529.50550393+6.43071080e+00j
 1529.50550393-6.43071080e+00j]","[[ 0.06564637+0.00504948j  0.90672715+0.j         -0.00211399+0.4171424j ]
 [ 0.06564637-0.00504948j -0.00211399-0.4171424j   0.90672715+0.j        ]
 [ 0.99565562+0.j         -0.05752814+0.02289417j -0.05752814-0.02289417j]]",9.921764286317174,5,8,7.5,7.5,1530,1650
57,"[1650.98888979-2.84217094e-14j 1529.5055551 +6.54776115e+00j
 1529.5055551 -6.54776115e+00j]","[[ 0.06563961+0.00508809j  0.90857894+0.j         -0.00210947+0.41309397j]
 [ 0.06563961-0.00508809j -0.00210947-0.41309397j  0.90857894+0.j        ]
 [ 0.99565612+0.j         -0.05764886+0.02257974j -0.05764886-0.02257974j]]",9.998648589199803,5,8,7.5,7.5,1530,1650
58,"[1650.98878714+2.55795385e-13j 1529.50560643+6.66313030e+00j
 1529.50560643-6.66313030e+00j]","[[ 0.06563283+0.00512652j  0.91035904+0.j         -0.00210513+0.40915662j]
 [ 0.06563283-0.00512652j -0.00210513-0.40915662j  0.91035904+0.j        ]
 [ 0.99565662+0.j         -0.05776462+0.02227308j -0.05776462-0.02227308j]]",10.075195954566029,5,8,7.5,7.5,1530,1650
59,"[1650.98868418-7.10542736e-14j 1529.50565791+6.77689608e+00j
 1529.50565791-6.77689608e+00j]","[[ 0.06562603+0.00516477j  0.91207165+0.j         -0.00210096+0.40532511j]
 [ 0.06562603-0.00516477j -0.00210096-0.40532511j  0.91207165+0.j        ]
 [ 0.99565712+0.j         -0.0578757 +0.02197382j -0.0578757 -0.02197382j]]",10.151408596701511,5,8,7.5,7.5,1530,1650
60,"[1650.98858092-8.52651283e-14j 1529.50570954+6.88913012e+00j
 1529.50570954-6.88913012e+00j]","[[ 0.06561921+0.00520284j  0.91372062+0.j         -0.00209695+0.40159456j]
 [ 0.06561921-0.00520284j -0.00209695-0.40159456j  0.91372062+0.j        ]
 [ 0.99565762+0.j         -0.05798237+0.02168162j -0.05798237-0.02168162j]]",10.227288710494772,5,8,7.5,7.5,1530,1650
61,"[1650.98847736+1.27897692e-13j 1529.50576132+6.99989857e+00j
 1529.50576132-6.99989857e+00j]","[[ 0.06561237+0.00524073j  0.91530949+0.j         -0.00209309+0.39796044j]
 [ 0.06561237-0.00524073j -0.00209309-0.39796044j  0.91530949+0.j        ]
 [ 0.99565813+0.j         -0.05808489+0.02139617j -0.05808489-0.02139617j]]",10.302838471649547,5,8,7.5,7.5,1530,1650
